Product/Service Name,SKU,Type,Sales Description,Sales Price,Purchase Cost,Quantity On Hand
Gearbox oil,GO-80W90,Inventory,80W-90 pivot gearbox oil,18.50,9.25,24
Center drive gearbox,CDG-7000,Inventory,Valley-style center drive gearbox,890.00,540.00,3
Tower gearbox,TGB-8,Inventory,8-bolt tower gearbox,410.00,255.00,6
Span cable,SC-10-4,Inventory,10-4 span cable per 100 ft,165.00,92.00,12
Collector ring,CR-10,Inventory,10-ring collector,275.00,160.00,4
Last tower box,LTB-14,Inventory,Last tower control box,220.00,128.00,5
Nelson R3000 sprinkler,R3000,Inventory,Pivot sprinkler / nozzle package,42.00,21.50,40
End gun coupling,EG-2,Inventory,2 in end gun coupling,38.00,16.00,10
11.2-38 tire,T-11238,Inventory,11.2-38 irrigation tire,285.00,175.00,8
U-joint,UJ-1350,Inventory,1350 series driveline U-joint,64.00,31.00,15
Contactor,CNT-30,Inventory,30A pivot contactor,78.00,39.00,9
Startup inspection,SVC-START,Service,Pre-season pivot startup labor,185.00,0,0
